,index,name,recipe,ingridients
293,293,Завтрак Джокера,"Налей в стопку кофейный ликер 20 мл. Используя коктейльную ложку, уложи слой коньяка 20 мл. Аккуратно налей сверху желток перепелиного яйца","коньяк, кофейный ликер, желток перепелиного яйца"
294,294,Бессонница,"Налей в шейкер сахарный сироп 5 мл, кленовый сироп 10 мл, красный вермут 15 мл и темный ром 50 мл. Добавь щепотку шафрана и персиковый биттер 5 дэш. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в охлажденный коктейльный бокал. Укрась апельсиновой цедрой","темный ром, красный вермут, персиковый биттер, кленовый сироп, сахарный сироп, шафран, апельсиновая цедра, лед в кубиках"
295,295,Морс мартини,"Положи в шейкер клубнику 2 ягоды, малину 2 ягоды, чернику 1 коктейльную ложку и подави мадлером. Налей клюквенный сок 30 мл, сахарный сироп 10 мл, черносмородиновый ликер 10 мл и водку 30 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в охлажденный коктейльный бокал. Укрась веточкой красной смородины","водка, черносмородиновый ликер, сахарный сироп, клюквенный сок, клубника, малина, черника, красная смородина, лед в кубиках"
296,296,Абсент с энергетиком,Наполни хайбол кубиками льда доверху. Налей абсент 50 мл . Долей энергетик доверху и аккуратно размешай коктейльной ложкой,"абсент, энергетик, лед в кубиках"
297,297,Лонг айленд пунш,"Пятилитровой чаши для пунша хватит примерно на 20–25 порций. Наполни чашу для пунша кубиками льда на 1/3. Брось в чашу нарезанные на кружки лимон и лайм. Налей лимонный сок 350 мл, сахарный сироп 400 мл, ликер трипл сек 300 мл, серебряную текилу 300 мл, белый ром 300 мл, джин 300 мл и водку 300 мл. Долей колу доверху и аккуратно размешай коктейльной ложкой","лондонский сухой джин, водка, белый ром, серебряная текила, трипл сек, сахарный сироп, лимонный сок, кола, лимон, лайм, лед в кубиках"
298,298,Греческая смоковница,"Налей в стопку ликер маракуйи 15 мл. Используя коктейльную ложку, уложи слоями лаймовый сок 15 мл и коньяк 15 мл. Укрась долькой инжира с медом. Выпей шот и заверши его инжиром","коньяк, ликер маракуйи, лаймовый сок, инжир, мед"
299,299,Норманди смэш,"Положи в хайбол мяту 10 листьев, четвертинку лайма и подави мадлером. Наполни хайбол дробленым льдом доверху. Налей сахарный сироп 20 мл и кальвадос 40 мл. Долей просекко доверху и аккуратно размешай коктейльной ложкой. Укрась веточкой мяты","кальвадос, просекко, сахарный сироп, лайм, мята, дробленый лед"
300,300,Японский сайдкар,"Налей в шейкер лимонный сок 5 мл, сахарный сироп 10 мл, абрикосовый ликер 30 мл и саке 75 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденный коктейльный бокал","саке, абрикосовый ликер, сахарный сироп, лимонный сок, лед в кубиках"
301,301,Летний бриз,"Положи в харрикейн нарезанные четвертинки лайма и апельсина и подави мадлером. Наполни харрикейн дробленым льдом доверху. Налей сироп розы 10 мл и мандариновый сироп 20 мл . Долей светлое пиво доверху и аккуратно размешай коктейльной ложкой. Досыпь немного дробленого льда. Укрась физалисом, дольками апельсина и лайма","светлое пиво, сироп розы, мандариновый сироп, лайм, апельсин, физалис, дробленый лед"
302,302,Бен Баклер,"Наполни бокал для вина льдом. Налей в бокал амаро 10 мл, водку 25 мл и домашнее вино из маракуйи 60 мл. Добавь сплэш воды  и размешай коктейльной ложкой. Укрась кружком лайма","водка, домашнее вино из маракуйи, амаро, вода без газа, лайм, лед в кубиках"
303,303,Лошадиная шея,Наполни хайбол кубиками льда доверху. Налей бурбон 50 мл и ангостуру биттер 1 дэш. Долей имбирное пиво доверху и аккуратно размешай коктейльной ложкой. Укрась длинной лимонной цедрой,"бурбон, ангостура биттер, имбирное пиво, лимонная цедра, лед в кубиках"
304,304,Ванна пузырьков мартини,"Налей в шейкер ликер личи 25 мл, домашнюю маковую водку 25 мл и домашнюю лавандовую водку 25 мл . Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденное шампанское блюдце. Положи в соковыжималку очищенные личи без косточек 8 шт. и сделай сок. Налей в миску воду  50 мл, сок личи 100 мл и сироп розы 5 мл. Добавь щепотку лецитина. Взбей венчиком до образования пены. Укрась получившейся пеной коктейль","домашняя лавандовая водка, домашняя маковая водка, ликер личи, сироп розы, вода без газа, личи, лецитин, лед в кубиках"
305,305,Грог,"Положи в бокал для ирландского кофе лимон 2 дольки, гвоздику 3 шт. и кардамон 3 зернышка. Добавь лимонный сок 15 мл, сахарный сироп 20 мл и белый ром 40 мл. Долей горячий черный чай доверху и аккуратно размешай коктейльной ложкой","белый ром, сахарный сироп, лимонный сок, черный чай, лимон, гвоздика, кардамон"
306,306,Королевская дыня,Налей в шейкер домашний дынный микс 60 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в коктейльный бокал. Долей просекко доверху. Укрась укропом и сусальным золотом,"просекко, домашний дынный микс, укроп, пищевое сусальное золото, лед в кубиках"
307,307,Шампань коктейль,Положи кубик тростникового сахара в охлажденный флюте. Добавь ангостуру биттер 1 дэш и коньяк 30 мл. Долей просекко доверху и аккуратно размешай коктейльной ложкой,"коньяк, просекко, ангостура биттер, тростниковый сахар в кубиках"
308,308,Яблочно-ванильный глинтвейн,"Положи в питчер небольшую дольку зеленого яблока . Налей мед 15 мл и красное вино сухое 150 мл. Добавь ванильный сахарный песок 1 коктейльную ложку, апельсиновую и лимонную цедру, гвоздику 3 шт., звездочку бадьяна и палочку корицы. Помешивая, нагрей, не доводя до кипения. Перелей в бокал для ирландского кофе. Укрась кожурой зеленого яблока","красное вино сухое, яблоко, мед, гвоздика, ванильный сахарный песок, бадьян, корица в палочках, лимонная цедра, апельсиновая цедра"
309,309,Водка энергетик мини,Налей в шот поровну водку и энергетик,"водка, энергетик"
310,310,Японский космополитен,"Налей в шейкер лимонный сок 15 мл, клюквенный сок 30 мл, ликер трипл сек 15 мл и саке 60 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденный коктейльный бокал","саке, трипл сек, лимонный сок, клюквенный сок, лед в кубиках"
311,311,Янки,"Налей в стопку вишневый ликер 15 мл. Используя коктейльную ложку, уложи слоями лимонный сок 15 мл, ликер корицы 10 мл и американский виски 15 мл","американский виски, ликер корицы, вишневый ликер, лимонный сок"
312,312,Фокси леди шутер,"Положи в шейкер клубнику 1 ягоду и подави мадлером. Налей лаймовый сок 5 мл, клюквенный сок 15 мл, сироп личи 5 мл и белый ром 15 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в стопку","белый ром, сироп личи, клюквенный сок, лаймовый сок, клубника, лед в кубиках"
313,313,Горящий доктор Пеппер,"Налей в хайбол светлое пиво на 2/3. Налей в стопку ликер амаретто 25 мл. Используя коктейльную ложку, уложи слой сверхкрепкого рома 25 мл. Подожги и опусти стопку в хайбол с пивом","сверхкрепкий ром, ликер амаретто, светлое пиво"
314,314,Бахус,"Налей в стопку абрикосовый ликер 15 мл. Используя коктейльную ложку, уложи лимонный сок 15 мл и коньяк 15 мл. Укрась курагой. Выпей шот и заверши его курагой","коньяк, абрикосовый ликер, лимонный сок, курага"
315,315,Медовый шепот,"Наполни хайбол кубиками льда доверху. Налей в шейкер лаймовый сок 15 мл и серебряную текилу 50 мл . Добавь апельсиновый биттер 1 дэш. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в хайбол. Налей в сифон белок перепелиного яйца 15 мл, мед 25 мл и содовую 100 мл. Закрой сифон и взбей 3–4 раза. Укрась коктейль пеной из сифона и щепоткой копченой соли","серебряная текила, апельсиновый биттер, лаймовый сок, содовая, белок перепелиного яйца, мед, копченая соль, лед в кубиках"
316,316,Выдержанный Манхэттен,Налей в стакан для смешивания красный вермут 100 мл и шотландский виски 200 мл. Добавь бурбон 300 мл и аккуратно размешай коктейльной ложкой. Перелей полученный коктейль в бочку и оставь вызревать на полгода. Положи в рокс ледяной куб. Перелей готовый коктейль через ситечко в бокал. Укрась апельсиновой цедрой и коктейльной вишней на шпажке,"бурбон, шотландский виски, красный вермут, апельсиновая цедра, коктейльная вишня красная, ледяной куб"
317,317,Смерть сверху,"Положи в рокс ледяной куб. Налей в стакан для смешивания сахарный сироп 5 мл, херес олоросо 10 мл, темный ром 30 мл и сверхкрепкий ром 30 мл. Добавь ангостуру биттер 1 дэш и апельсиновый биттер 2 дэш. Наполни стакан кубиками льда и размешай коктейльной ложкой. Перелей через стрейнер в рокс. Укрась апельсиновой и лимонной цедрой","сверхкрепкий ром, темный ром, херес олоросо, апельсиновый биттер, ангостура биттер, сахарный сироп, апельсиновая цедра, лимонная цедра, ледяной куб, лед в кубиках"
318,318,Сухой рубин,"Положи ледяной куб в коктейльный бокал. Налей в стакан для смешивания сахарный сироп 5 мл и лилле руж 30 мл. Добавь фернет бранка 1 дэш, сладкий херес блендовый 30 мл и водку 30 мл. Наполни стакан для смешивания кубиками льда и аккуратно размешай коктейльной ложкой. Перелей через стрейнер в коктейльный бокал","водка, фернет бранка, лилле руж, сладкий херес блендовый, сахарный сироп, лед в кубиках, ледяной куб"
319,319,Виски кола,Наполни хайбол кубиками льда доверху. Налей американский виски 50 мл. Долей колу доверху и аккуратно размешай коктейльной ложкой,"американский виски, кола, лед в кубиках"
320,320,Пожар в Техасе,"Налей в стопку мятный ликер зеленый 20 мл. Используя коктейльную ложку, уложи слоями красный биттер 15 мл и ликер трипл сек 15 мл. Подожги и быстро выпей через трубочку","красный биттер, трипл сек, мятный ликер зеленый"
321,321,Мятный микс,Положу мяту 30 листиков в бокал для ирландского кофе. Налей мандариновый сироп 30 мл и шотландский виски 40 мл. Добавь щепотку молотой корицы и гвоздику 2 шт.. Долей горячий чай сенча доверху и аккуратно размешай коктейльной ложкой. Укрась листиками мяты,"шотландский виски, мандариновый сироп, чай сенча, мята, гвоздика, молотая корица"
322,322,Мартиника,"Налей в стакан для смешивания ликер мараскино 10 мл и красный вермут 45 мл. Добавь домашний кардамоновый биттер 3 дэш, золотой ром 30 мл и выдержанный ром 30 мл. Наполни стакан кубиками льда и размешай коктейльной ложкой. Перелей через стрейнер в охлажденный коньячный бокал. Укрась апельсиновой цедрой","золотой ром, выдержанный ром, красный вермут, ликер мараскино, домашний кардамоновый биттер, апельсиновая цедра, лед в кубиках"
323,323,Черный хвост,Положи в хайбол ледяной куб 2 шт. Налей домашний сироп кола 25 мл и фернет бранку 3 мл. Добавь Джерри Томас биттер 1 дэш и белый ром 30 мл. Долей просекко доверху и аккуратно размешай коктейльной ложкой. Укрась домашним цитрусовым маслом,"белый ром, фернет бранка, просекко, джерри томас биттер, домашний сироп кола, домашнее цитрусовое масло, ледяной куб"
324,324,Педро Манхэттен,Налей в стакан для смешивания херес педро хименес 20 мл и бурбон 50 мл. Добавь пишо биттер 2 дэш. Наполни стакан кубиками льда и размешай коктейльной ложкой. Перелей через стрейнер в охлажденный коктейльный бокал. Укрась коктейльной вишней на шпажке,"бурбон, херес педро хименес, пишо биттер, коктейльная вишня красная, лед в кубиках"
325,325,Золотая текила бум,"Налей в бокал золотую текилу 50 мл и спрайт почти доверху. Накрой рокс салфеткой и, придерживая ее сверху, сильно и быстро постучи по столу 3 раза. Быстро пей, пока он пенится!","золотая текила, спрайт"
326,326,Скаффа,"Налей в стопку ликер мараскино 25 мл. Используя коктейльную ложку, уложи слой коньяка 25 мл. Добавь ангостуру биттер 2 дэш","коньяк, ликер мараскино, ангостура биттер"
327,327,Маргарита утренняя,"Положи в шейкер апельсиновый джем 2 коктейльных ложки. Налей лимонный сок 15 мл, грейпфрутовый сок 40 мл, сахарный сироп 10 мл, ликер трипл сек 30 мл и серебряную текилу 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденное шампанское блюдце. Укрась коктейльной вишней","серебряная текила, трипл сек, сахарный сироп, грейпфрутовый сок, лимонный сок, апельсиновый джем, коктейльная вишня красная, лед в кубиках"
328,328,Сауэр 24,"Наполни рокс кубиками льда доверху. Налей в шейкер белок перепелиного яйца 25 мл, лимонный сок 15 мл, сахарный сироп 10 мл, бенедиктин 10 мл и джин 40 мл. Добавь ангостуру биттер 2 дэш. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в рокс. Укрась маленькими дольками апельсина и коктейльной вишней на коктейльной шпажке","лондонский сухой джин, бенедиктин, ангостура биттер, сахарный сироп, лимонный сок, белок перепелиного яйца, апельсин, коктейльная вишня красная, лед в кубиках"
329,329,Бодрячок,"Положи в блендер ежевику 4 ягоды, клубнику 3 ягоды и малину 6 ягод. Налей мед 20 мл и клюквенный сок 150 мл. Добавь в блендер совок дробленого льда и взбей. Перелей в коктейльную креманку","клюквенный сок, ежевика, клубника, малина, мед, дробленый лед"
330,330,Фьюжн персик,"Положи в блендер очищенную и нарезанную четвертинку персика. Налей ананасовый сок 60 мл, имбирный сироп 10 мл и водку 40 мл. Добавь в блендер совок дробленого льда и взбей. Перелей в охлажденное шампанское блюдце. Укрась лепестком розы","водка, имбирный сироп, ананасовый сок, персик, лепестки роз, дробленый лед"
331,331,Карибский яблочный пирог,"Наполни слинг кубиками льда доверху. Налей в шейкер лимонный сок 30 мл, клюквенный сок 75 мл, сироп корицы 25 мл, черносмородиновый ликер 15 мл и кальвадос 60 мл. Добавь ангостуру биттер 1 дэш. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в слинг. Укрась веером из долек яблока и веточкой мяты","кальвадос, черносмородиновый ликер, ангостура биттер, сироп корицы, клюквенный сок, лимонный сок, яблоко, мята, лед в кубиках"
332,332,Парксайд физз,"Наполни рокс кубиками льда доверху. Положи в шейкер мяту 10 листьев и подави мадлером. Налей лимонный сок 15 мл, миндальный сироп 15 мл и цитрусовую водку 60 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в рокс. Долей содовую доверху и аккуратно размешай коктейльной ложкой. Укрась кружком лимона и веточкой мяты","цитрусовая водка, миндальный сироп, лимонный сок, содовая, лимон, мята, лед в кубиках"
333,333,Том коллинз,"Наполни коллинз кубиками льда доверху . Налей в шейкер лимонный сок 25 мл, сахарный сироп 25 мл и джин 50 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в бокал. Долей содовую доверху и аккуратно размешай коктейльной ложкой. Укрась кружком апельсина и коктейльной вишней","лондонский сухой джин, сахарный сироп, лимонный сок, содовая, апельсин, коктейльная вишня красная, лед в кубиках"
334,334,Конот мартини,"Налей в стакан для смешивания сухой вермут 25 мл и водку 75 мл. Наполни стакан кубиками льда и размешай коктейльной ложкой. Перелей через стрейнер в охлажденный коктейльный бокал. Добавь 3 дэш грейпфрутового, ванильного, кардамонового, лакричного или имбирного биттера на выбор. Укрась лимонной цедрой","водка, сухой вермут, грейпфрутовый биттер, лимонная цедра, лед в кубиках"
335,335,Май тай 4,"Наполни кубок кубиками льда доверху. Налей лаймовый сок 10 мл, апельсиновый сок 20 мл, ананасовый сок 20 мл, гренадин 5 мл, миндальный сироп 10 мл и ликер трипл сек 20 мл. Добавь белый ром 20 мл, темный ром 20 мл, золотой ром 20 мл и аккуратно размешай коктейльной ложкой. Укрась лаймовой цедрой с ананасовым пюре, кубиком тростникового сахара и ананасовым листом","белый ром, темный ром, золотой ром, трипл сек, миндальный сироп, гренадин, ананасовый сок, лаймовый сок, апельсиновый сок, ананасовое пюре, ананасовые листья, тростниковый сахар в кубиках, лаймовая цедра, лед в кубиках"
336,336,Молочный пунш,"Трехлитровой чаши хватит примерно на 15 чашек. Наполни чашу кубиками льда на 1/3. Положи в чашу нарезанные кубиками ананас 250 г, клубнику 90 г, сахарный песок 100 г и розовый перец 30 г. Добавь ваниль в стручках 5 г, гвоздику 10 г и чипотле 15 г. Налей черный чай 500 мл, лимонный сок 300 мл и херес Фино 90 мл. Добавь банановый ликер желтый 150 мл, кальвадос 150 мл, бурбон 150 мл и коньяк 350 мл. Долей молоко доверху и аккуратно размешай коктейльной ложкой. Разлей по бутылям через стрейнер и ситечко . Подавай с чашкой, наполненной кубиками льда, ягодами и цветками фиалки","кальвадос, коньяк, бурбон, банановый ликер желтый, херес фино, лимонный сок, черный чай, молоко, ананас, зеленый виноград, клубника, ежевика, малина, цветы фиалки, сахарный песок, розовый перец, ваниль в стручках, гвоздика, чипотле, лед в кубиках"
337,337,Новая кожа,Налей в стакан для смешивания домашний холодный шоколад 20 мл. Добавь домашнюю картофельную водку 50 мл. Положи в стакан ледяной куб и аккуратно размешай коктейльной ложкой. Перелей через стрейнер в коктейльный бокал. Укрась поджаренным ломтиком картофеля и укропом,"домашняя картофельная водка, домашний холодный шоколад, картофель, укроп, ледяной куб"
338,338,Пастек,"Положи в шейкер мякоть дольки арбуза и подави мадлером. Налей лаймовый сок 15 мл, арбузный сироп 10 мл, сахарный сироп 10 мл и водку 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в охлажденный коктейльный бокал. Укрась долькой арбуза","водка, арбузный сироп, сахарный сироп, лаймовый сок, арбуз, лед в кубиках"
339,339,Голландский дайкири,Налей в шейкер лаймовый сок 20 мл и ананасовый сироп 10 мл. Добавь пряный ром 60 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в охлажденное шампанское блюдце. Укрась сушеным ананасом,"пряный ром, ананасовый сироп, лаймовый сок, сушеный ананас, лед в кубиках"
340,340,Президент Гибсон,Налей в шейкер сухой вермут 15 мл и лондонский сухой джин 75 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в охлажденный коктейльный бокал. Зажги над коктейлем горелку и выжми на нее масло из лимонной цедры. Укрась тремя маринованными луковицами на шпажке,"лондонский сухой джин, сухой вермут, лимонная цедра, маринованный лук, лед в кубиках"
341,341,Мелоник,Наполни хайбол кубиками льда доверху. Налей лаймовый сок 10 мл и дынный ликер 50 мл. Долей тоник доверху и аккуратно размешай коктейльной ложкой. Досыпь немного дробленого льда . Укрась кружком лайма,"дынный ликер, лаймовый сок, тоник, лайм, дробленый лед, лед в кубиках"
342,342,Твою мать,"Налей в стопку ворчестер соус 20 мл и лимонный сок 15 мл. Добавь по щепотке соли и черного перца молотого и размешай коктейльной ложкой. Используя коктейльную ложку, уложи слой водки 20 мл. Добавь ангостуру биттер 1 дэш","водка, ангостура биттер, лимонный сок, ворчестер соус, соль, черный перец молотый"
343,343,Оранж биттер,"Наполни рокс кубиками льда доверху. Налей красный вермут 50 мл, красный биттер 50 мл и размешай коктейльной ложкой. Укрась апельсиновой цедрой","красный вермут, красный биттер, апельсиновая цедра, лед в кубиках"
344,344,Гранд сазерак,Обрызгай коллинз абсентом с внешней и внутренней стороны. Наполни бокал кубиками льда доверху. Налей ликер драй оранж 20 мл и шотландский виски 40 мл . Добавь ангостуру биттер 1 дэш . Долей просекко доверху и аккуратно размешай коктейльной ложкой. Укрась апельсиновой цедрой,"абсент, шотландский виски, ликер драй оранж, просекко, ангостура биттер, апельсиновая цедра, лед в кубиках"
345,345,Клубничный милкшейк,Положи в миксер клубнику 6 ягод и клубничное мороженое 200 г. Налей молоко 80 мл. Взбей без добавления льда и перелей в коктейльную креманку. Укрась половинками клубники,"молоко, клубничное мороженое, клубника"
346,346,Реаниматор,"Налей в стопку сахарный сироп 10 мл. Добавь лимонный сок 15 мл. Используя коктейльную ложку, уложи слоями несколько капель табаско соуса красного и водку 30 мл","водка, сахарный сироп, лимонный сок, табаско соус красный"
347,347,Топ биллинг,"Положи в охлажденный коктейльный бокал коктейльную вишню красную и налей ликер личи 20 мл. Налей в шейкер лимонный сок 15 мл, ананасовый сок 60 мл, ликер блю кюрасао 20 мл и водку 30 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в коктейльный бокал. Досыпь немножко дробленого льда","водка, ликер блю кюрасао, ликер личи, ананасовый сок, лимонный сок, коктейльная вишня красная, дробленый лед, лед в кубиках"
348,348,Абрикосовый глинтвейн с коньяком,"Положи в питчер абрикосовый джем 3 коктейльных ложки, четвертинку апельсина и лимонную цедру . Налей красное вино сухое 150 мл и коньяк 20 мл. Добавь гвоздику 3 шт. и палочку корицы. Помешивая, нагрей, не доводя до кипения. Перелей в бокал для ирландского кофе. Укрась половинками абрикоса на шпажке","коньяк, красное вино сухое, абрикос, апельсин, абрикосовый джем, корица в палочках, гвоздика, лимонная цедра"
349,349,Молочный бренди пунш,"Наполни коллинз кубиками льда доверху. Налей в шейкер жирные сливки 25 мл, молоко 75 мл, сахарный сироп 15 мл, ванильный сироп 10 мл и коньяк 50 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в бокал. Укрась мускатным орехом молотым","коньяк, сахарный сироп, ванильный сироп, молоко, жирные сливки, мускатный орех молотый, лед в кубиках"
350,350,За поздним завтраком,"Наполни хайбол кубиками льда доверху. Налей в шейкер лимонный сок 20 мл, сахарный сироп 15 мл и белок перепелиного яйца 20 мл. Добавь томатный сок 80 мл и сельдереевый джин 45 мл. Тщательно взбей безо льда. Наполни шейкер кубиками льда и взбей еще раз. Перелей через стрейнер в охлажденный бокал. Укрась овощными чипсами","сельдереевый джин, сахарный сироп, лимонный сок, томатный сок, белок перепелиного яйца, овощные чипсы, лед в кубиках"
351,351,Виски сауэр,"Наполни рокс кубиками льда. Налей в шейкер белок перепелиного яйца 25 мл, лимонный сок 30 мл, сахарный сироп 15 мл и бурбон 50 мл. Добавь ангостуру биттер 1 дэш . Тщательно взбей безо льда. Наполни шейкер кубиками льда и взбей еще раз. Перелей через стрейнер в рокс. Укрась кружком лимона и коктейльной вишней на шпажке","бурбон, ангостура биттер, сахарный сироп, лимонный сок, белок перепелиного яйца, лимон, коктейльная вишня красная, лед в кубиках"
352,352,Цитрусовая маргарита,"Наполни кубок кубиками льда доверху. Налей в шейкер лимонный сок 15 мл, лаймовый сок 10 мл, сироп агавы 10 мл и серебряную текилу 50 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в кубок. Укрась двумя кружками лайма","серебряная текила, сироп агавы, лаймовый сок, лимонный сок, лайм, лед в кубиках"
353,353,Малиновый гоголь-моголь,"Положи в питчер малину 5 коктейльных ложек, сахарный песок 5 коктейльных ложек и подави мадлером. Добавь желтки перепелиных яиц 5 шт., мед 20 мл, нежирные сливки 50 мл и молоко 150 мл. Помешивая, нагрей коктейль паром от кофемашины, не доводя до кипения. Перелей в бокал для ирландского кофе. Укрась печеньем","молоко, нежирные сливки, желток перепелиного яйца, малина, мед, сахарный песок, печенье"
354,354,Роллс-Ройс,"Положи ледяной куб в рокс. Налей медовый ликер 10 мл, красный вермут 20 мл и сухой вермут 20 мл. Добавь сельдереевый биттер 2 дэш и лондонский сухой джин 40 мл. Аккуратно размешай коктейльной ложкой. Укрась полоской огурца","лондонский сухой джин, красный вермут, сухой вермут, медовый ликер, сельдереевый биттер, огурец, ледяной куб"
355,355,Пьяный дядя,"Налей в стакан для смешивания белый вермут 22,5 мл, чинар 22,5 мл и односолодовый виски с острова Айла 45 мл. Наполни стакан кубиками льда и размешай коктейльной ложкой. Перелей через стрейнер в охлажденное шампанское блюдце. Укрась грейпфрутовой цедрой","односолодовый виски сострова айла, белый вермут, чинар, грейпфрутовая цедра, лед в кубиках"
356,356,Гоголь-моголь,"Смешай в питчере желтки перепелиных яиц 5 шт. и мед 20 мл. Налей нежирные сливки 50 мл и молоко 150 мл. Нагрей коктейль паром от кофемашины, не доводя до кипения. Перелей в бокал для ирландского кофе. Добавь щепотку мускатного ореха молотого и укрась печеньем","желток перепелиного яйца, молоко, нежирные сливки, мед, мускатный орех молотый, печенье"
357,357,Башня силы сауэров,"Налей в шейкер белок перепелиного яйца 25 мл, лимонный сок 25 мл, сахарный сироп 12,5 мл и выдержанный бурбон 50 мл. Добавь клюквенный джем с портвейном 2 коктейльных ложки . Тщательно взбей безо льда. Наполни шейкер кубиками льда и снова взбей . Перелей через стрейнер и ситечко в бокал сауэр","выдержанный бурбон, сахарный сироп, лимонный сок, белок перепелиного яйца, клюквенный джем спортвейном, лед в кубиках"
358,358,Ром с вишневым соком,Наполни хайбол кубиками льда доверху. Налей белый ром 50 мл. Долей вишневый сок доверху и аккуратно размешай коктейльной ложкой. Укрась кружком апельсина,"белый ром, вишневый сок, апельсин, лед в кубиках"
359,359,Борец,"Налей в стопку золотую текилу 50 мл. Положи в другую стопку ломтик огурца, посыпанный солью. Выпей текилу и заверши ее огурцом","золотая текила, огурец, соль"
360,360,Баха бокана,"Положи в шейкер 3 листика шалфея. Налей лаймовый сок 10 мл, сироп агавы 10 мл, персиковый ликер 5 мл, ликер трипл сек 15 мл и водку 40 мл . Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденный коктейльный бокал. Укрась листиком шалфея","водка, трипл сек, персиковый ликер, сироп агавы, лаймовый сок, шалфей, лед в кубиках"
361,361,Ванила смэш,"Положи в хайбол мяту 30 листьев и слегка придави мадлером. Наполни хайбол дробленым льдом доверху. Налей лимонный сок 15 мл, яблочный сок 30 мл, яблочный сироп желтый 25 мл и ванильную водку 40 мл. Долей содовую доверху и аккуратно размешай коктейльной ложкой. Досыпь немного дробленого льда. Укрась слайсом зеленого яблока и веточкой мяты","домашняя ванильная водка, яблочный сироп желтый, яблочный сок, лимонный сок, содовая, яблоко, мята, дробленый лед"
362,362,Кровавый Джозеф,"Наполни хайбол кубиками льда доверху. Налей лимонный сок 15 мл, томатный сок 125 мл, винный уксус 10 мл и шотландский виски 50 мл. Добавь по щепотке соли и черного перца молотого, 3 капли табаско соуса красного и аккуратно размешай коктейльной ложкой. Укрась кружком лимона","шотландский виски, лимонный сок, томатный сок, лимон, табаско соус красный, красный винный уксус, соль, черный перец молотый, лед в кубиках"
